ID,Gender,Archetype,Secondary,Image Type,Intensity,Context,Tags,Flat Lay Description,Contextual Props,AI Generation Prompt,
P065,Male,Creative,Dramatic,Blend,Moderate,Neutral,"creative, dramatic, blend, male","Avant-garde — sculptural oversized coat in unexpected color, deconstructed layers, architectural shoes, art piece accessories","Abstract sculpture, design magazine, on stark surface with dramatic light","Overhead flat lay photograph, men's creative-dramatic blend outfit, sculptural oversized coat in deep cobalt laid dramatically, deconstructed asymmetric black top, wide architectural trousers, geometric-sole black shoes, abstract metal accessory, arranged on stark white surface, abstract modernist sculpture, open design magazine, dramatic directional lighting with strong shadows, editorial styling, avant-garde bold composition, high-end fashion photography, 4k, photorealistic",
P066,Female,Creative,Dramatic,Blend,Moderate,Neutral,"creative, dramatic, blend, female","Avant-garde — sculptural dress in unexpected form, architectural heels, single statement art jewelry piece","Abstract art, architectural model, on stark surface with dramatic shadow","Overhead flat lay photograph, women's creative-dramatic blend outfit, sculptural dress in unexpected asymmetric form and vivid color laid dramatically, architectural geometric heels, single oversized abstract art-piece necklace, arranged on stark white surface, small abstract sculpture, architectural model, dramatic directional lighting with extreme shadows, editorial styling, avant-garde bold composition, high-end fashion photography, 4k, photorealistic",
P067,Male,Edgy,Dramatic,Blend,Moderate,Neutral,"edgy, dramatic, blend, male","Dark power — long black leather coat, black turtleneck, black wide-leg trousers, heavy silver rings, sharp boots","Heavy chains, dark angular objects, on black metal surface","Overhead flat lay photograph, men's edgy-dramatic blend outfit, long black leather coat laid flat spanning frame, black ribbed turtleneck, black wide-leg tailored trousers, sharp-toed black leather boots, collection of heavy silver rings, arranged on black metal surface, heavy dark chains, angular dark metal objects, dramatic harsh lighting with deep shadows, editorial styling, dark powerful composition, high-end fashion photography, 4k, photorealistic",
P068,Female,Edgy,Dramatic,Blend,Moderate,Neutral,"edgy, dramatic, blend, female","Dark power — structured black leather cape, black bodysuit, black wide trousers, sharp stiletto boots, bold dark jewelry","Dark chains, angular objects, black roses, on dark metal surface","Overhead flat lay photograph, women's edgy-dramatic blend outfit, structured black leather cape laid dramatically, black bodysuit, black wide-leg trousers, sharp pointed stiletto boots, bold dark chain necklace and spiked cuff, arranged on dark metal surface, dark chains, angular dark objects, black roses, dramatic harsh lighting with deep shadows, editorial styling, dark powerful composition, high-end fashion photography, 4k, photorealistic",
P069,Male,Sporty,Natural,Blend,Moderate,Neutral,"sporty, natural, blend, male","Trail casual — olive performance tee, tan hiking-inspired shorts, trail sneakers in earth tones, woven fabric watch strap","Trail map, canvas water canteen, on natural wood with leaves","Overhead flat lay photograph, men's sporty-natural blend outfit, olive green performance tee folded neatly, tan hiking-inspired shorts folded beside, trail sneakers in earth-tone brown and green, watch with woven fabric strap, arranged on natural wood surface with scattered leaves, folded trail map, canvas-wrapped water canteen, warm outdoor natural daylight, editorial styling, outdoorsy active composition, high-end lifestyle photography, 4k, photorealistic",
P070,Female,Sporty,Natural,Blend,Moderate,Neutral,"sporty, natural, blend, female","Trail casual — sage green performance tank, earth-tone leggings, trail sneakers, cotton baseball cap in neutral","Reusable water bottle in earth tone, trail snack, on natural wood surface","Overhead flat lay photograph, women's sporty-natural blend outfit, sage green performance tank top folded neatly, earth-tone brown and green patterned leggings, trail running sneakers in neutral earth tones, cotton baseball cap in sage, arranged on natural wood surface, earth-tone reusable water bottle, trail granola bar, warm outdoor natural daylight, editorial styling, outdoorsy active composition, high-end lifestyle photography, 4k, photorealistic",
P071,Male,Romantic,Classic,Blend,Moderate,Neutral,"romantic, classic, blend, male","Refined gentleman — soft blue cashmere sweater over white shirt collar, navy trousers, brown suede loafers, subtle floral pocket square","Leather-bound poetry book, dried sprig of lavender, on cream surface","Overhead flat lay photograph, men's romantic-classic blend outfit, soft powder blue cashmere V-neck sweater laid flat with white shirt collar peeking, navy wool trousers folded neatly, brown suede tassel loafers, subtle floral-print silk pocket square, arranged on cream linen surface, leather-bound poetry book, dried sprig of lavender, warm soft natural daylight, editorial styling, refined gentle composition, high-end fashion photography, 4k, photorealistic",
P072,Female,Romantic,Classic,Blend,Moderate,Neutral,"romantic, classic, blend, female","Refined feminine — pearl-button cardigan in ivory, silk blouse in blush, tailored navy skirt, pointed kitten heels, pearl bracelet","Vintage perfume, single white rose, on cream marble surface","Overhead flat lay photograph, women's romantic-classic blend outfit, ivory pearl-button cardigan laid flat, blush pink silk blouse, tailored navy pencil skirt, pointed nude kitten heels, delicate pearl bracelet, arranged on cream marble surface, vintage glass perfume bottle, single white rose, warm soft natural daylight, editorial styling, refined feminine composition, high-end fashion photography, 4k, photorealistic",
CONTEXT VARIATION IMAGES — 32 images (8 archetypes × 2 contexts × 2 genders),,,,,,,,,,,
P073,Male,Classic,—,Context,Moderate,Casual,"classic, context, casual, male","Weekend classic — polo shirt in navy, khaki chinos, white leather sneakers, woven belt","Sunglasses, weekend bag corner, on light surface","Overhead flat lay photograph, men's casual classic outfit, navy polo shirt folded neatly, khaki cotton chinos, clean white leather sneakers, woven cotton belt, arranged on light cream surface, tortoiseshell sunglasses, corner of canvas weekend bag, warm bright daylight, editorial styling, relaxed weekend composition, high-end lifestyle photography, 4k, photorealistic",
P074,Male,Classic,—,Context,Moderate,Elevated,"classic, context, elevated, male","Evening classic — midnight navy suit, white French-cuff shirt, silver cufflinks, dark tie, pocket square","Silver tie bar, on dark polished surface","Overhead flat lay photograph, men's elevated classic evening outfit, midnight navy wool suit laid precisely, white French-cuff dress shirt, dark silk tie, white pocket square, silver cufflinks, arranged on dark polished wood surface, silver tie bar, warm dramatic evening lighting, editorial styling, refined formal composition, high-end fashion photography, 4k, photorealistic",
P075,Female,Classic,—,Context,Moderate,Casual,"classic, context, casual, female","Weekend classic — striped Breton tee, white jeans, tan ballet flats, small gold hoops","Straw tote edge, sunglasses, on light wood surface","Overhead flat lay photograph, women's casual classic outfit, navy and white striped Breton tee folded neatly, white jeans folded beside, tan leather ballet flats, small gold hoop earrings, arranged on light wood surface, edge of straw tote bag, tortoiseshell sunglasses, warm bright daylight, editorial styling, relaxed weekend composition, high-end lifestyle photography, 4k, photorealistic",
P076,Female,Classic,—,Context,Moderate,Elevated,"classic, context, elevated, female","Evening classic — little black dress, pointed heels, diamond studs, clutch in gold","Champagne glass, on dark marble surface","Overhead flat lay photograph, women's elevated classic evening outfit, elegant little black dress laid beautifully, pointed black heels, diamond stud earrings, small gold clutch bag, arranged on dark marble surface, champagne glass, warm dramatic evening lighting, editorial styling, refined formal composition, high-end fashion photography, 4k, photorealistic",
P077,Male,Minimalist,—,Context,Moderate,Casual,"minimalist, context, casual, male","Weekend minimal — white tee, stone-wash relaxed jeans, grey sneakers",Single object on concrete,"Overhead flat lay photograph, men's casual minimalist outfit, white cotton tee folded precisely, stone-wash relaxed jeans folded beside, grey suede minimalist sneakers, arranged on light concrete surface, single smooth stone, sparse calm composition, soft natural daylight, editorial styling, high-end fashion photography, 4k, photorealistic",
P078,Male,Minimalist,—,Context,Moderate,Elevated,"minimalist, context, elevated, male","Formal minimal — all-black suit, black shirt, no tie, polished black shoes",Single object on dark surface,"Overhead flat lay photograph, men's elevated minimalist outfit, black wool suit laid precisely, black dress shirt, polished black derby shoes, no tie no accessories, arranged on dark matte surface, single dark geometric object, extremely spare composition, soft directional lighting, editorial styling, high-end fashion photography, 4k, photorealistic",
P079,Female,Minimalist,—,Context,Moderate,Casual,"minimalist, context, casual, female","Weekend minimal — oversized white shirt, black leggings, white slip-on sneakers",Single cup on white surface,"Overhead flat lay photograph, women's casual minimalist outfit, oversized white cotton shirt folded gently, black leggings folded beside, white slip-on leather sneakers, arranged on white surface, single white ceramic cup, sparse calm composition, soft natural daylight, editorial styling, high-end fashion photography, 4k, photorealistic",
P080,Female,Minimalist,—,Context,Moderate,Elevated,"minimalist, context, elevated, female","Formal minimal — black silk slip dress, black pointed heels, single gold ear cuff",Single object on dark surface,"Overhead flat lay photograph, women's elevated minimalist outfit, black silk slip dress laid beautifully, pointed black heels, single gold ear cuff, zero other accessories, arranged on dark matte surface, single dark geometric object, extremely spare composition, soft directional lighting, editorial styling, high-end fashion photography, 4k, photorealistic",
P081,Male,Romantic,—,Context,Moderate,Casual,"romantic, context, casual, male","Weekend romantic — soft floral print tee, light wash jeans, canvas espadrilles","Iced coffee, dried flowers on light surface","Overhead flat lay photograph, men's casual romantic outfit, soft muted floral print tee folded gently, light wash jeans folded beside, tan canvas espadrilles, arranged on light cream surface, iced coffee in glass, scattered dried flower petals, warm soft daylight, editorial styling, gentle relaxed composition, high-end lifestyle photography, 4k, photorealistic",
P082,Male,Romantic,—,Context,Moderate,Elevated,"romantic, context, elevated, male","Evening romantic — deep wine velvet blazer, cream silk shirt, dark trousers, velvet loafers","Rose, vintage ring box on velvet surface","Overhead flat lay photograph, men's elevated romantic evening outfit, deep wine velvet blazer laid flat, cream silk dress shirt, dark tailored trousers, dark velvet loafers, arranged on dark velvet surface, single deep red rose, vintage ring box, warm dramatic golden lighting, editorial styling, luxurious romantic composition, high-end fashion photography, 4k, photorealistic",
P083,Female,Romantic,—,Context,Moderate,Casual,"romantic, context, casual, female","Weekend romantic — floral cotton blouse, denim skirt, tan sandals, daisy chain bracelet","Fresh flowers, straw hat on light surface","Overhead flat lay photograph, women's casual romantic outfit, floral cotton blouse in soft colors folded gently, light denim skirt, tan leather sandals, delicate daisy chain bracelet, arranged on light painted wood surface, small bunch of fresh daisies, straw sun hat, warm soft daylight, editorial styling, gentle relaxed composition, high-end lifestyle photography, 4k, photorealistic",
P084,Female,Romantic,—,Context,Moderate,Elevated,"romantic, context, elevated, female","Evening romantic — blush silk gown, crystal drop earrings, satin clutch, strappy heels","Rose petals, champagne, on silk surface","Overhead flat lay photograph, women's elevated romantic evening outfit, blush silk midi gown laid beautifully, crystal drop earrings, satin clutch in champagne gold, strappy heeled sandals, arranged on draped champagne silk surface, scattered rose petals, champagne coupe glass, warm dramatic golden lighting, editorial styling, luxurious romantic composition, high-end fashion photography, 4k, photorealistic",
P085,Male,Natural,—,Context,Moderate,Casual,"natural, context, casual, male","Beach natural — linen tee in sand, cotton drawstring shorts, leather flip flops","Sunscreen, shell on driftwood surface","Overhead flat lay photograph, men's casual natural beach outfit, sand-colored linen tee folded casually, cotton drawstring shorts in faded olive, brown leather flip flops, arranged on driftwood surface, natural sunscreen tube, single seashell, warm bright daylight, editorial styling, beach relaxed composition, high-end lifestyle photography, 4k, photorealistic",
P086,Male,Natural,—,Context,Moderate,Elevated,"natural, context, elevated, male","Refined natural — quality linen suit in warm stone, white cotton shirt, leather sandals","Olive branch, on stone surface","Overhead flat lay photograph, men's elevated natural outfit, warm stone-colored linen suit laid flat, white cotton shirt, quality leather sandals, arranged on natural stone surface, small olive branch, warm golden daylight, editorial styling, refined organic composition, high-end fashion photography, 4k, photorealistic",
P087,Female,Natural,—,Context,Moderate,Casual,"natural, context, casual, female","Beach natural — crochet cover-up, linen shorts, woven sandals","Woven tote, shell on sand-colored surface","Overhead flat lay photograph, women's casual natural beach outfit, cream crochet cover-up laid gently, natural linen shorts, woven straw sandals, arranged on sand-colored surface, woven straw tote bag, small seashell, warm bright daylight, editorial styling, beach relaxed composition, high-end lifestyle photography, 4k, photorealistic",
P088,Female,Natural,—,Context,Moderate,Elevated,"natural, context, elevated, female","Refined natural — tailored linen dress in warm clay, leather belt, quality leather sandals","Ceramic bowl, olive branch on stone surface","Overhead flat lay photograph, women's elevated natural outfit, tailored warm clay linen dress laid beautifully, woven leather belt, quality tan leather sandals, wooden bangle, arranged on natural stone surface, handmade ceramic bowl, olive branch, warm golden daylight, editorial styling, refined organic composition, high-end fashion photography, 4k, photorealistic",
P089,Male,Creative,—,Context,Moderate,Casual,"creative, context, casual, male","Weekend creative — patterned short-sleeve shirt, colored shorts, printed canvas sneakers","Sketchbook, pencils on colorful surface","Overhead flat lay photograph, men's casual creative outfit, boldly patterned short-sleeve camp shirt folded, colored cotton shorts in mustard, printed canvas sneakers, arranged on colorful surface, open sketchbook, scattered colored pencils, warm bright daylight, editorial styling, playful casual composition, high-end lifestyle photography, 4k, photorealistic",
P090,Male,Creative,—,Context,Moderate,Elevated,"creative, context, elevated, male","Evening creative — jewel-toned velvet blazer, patterned shirt, dark trousers, statement shoes","Art catalogue, on rich textured surface","Overhead flat lay photograph, men's elevated creative evening outfit, jewel-toned emerald velvet blazer laid flat, subtly patterned dress shirt, dark tailored trousers, statement patterned dress shoes, arranged on richly textured surface, art exhibition catalogue, warm dramatic lighting, editorial styling, artistic elevated composition, high-end fashion photography, 4k, photorealistic",
P091,Female,Creative,—,Context,Moderate,Casual,"creative, context, casual, female","Weekend creative — colorful oversized cardigan, graphic tee, patterned skirt, fun sneakers","Art supplies, on painted surface","Overhead flat lay photograph, women's casual creative outfit, colorful patterned oversized cardigan laid flat, graphic art tee, patterned midi skirt in contrasting print, fun colorful sneakers, arranged on paint-spotted surface, scattered art supplies, warm bright daylight, editorial styling, playful casual composition, high-end lifestyle photography, 4k, photorealistic",
P092,Female,Creative,—,Context,Moderate,Elevated,"creative, context, elevated, female","Evening creative — sculptural dress in unexpected color, art jewelry, colored heels","Exhibition invitation, on dramatic surface","Overhead flat lay photograph, women's elevated creative evening outfit, sculptural dress in unexpected vivid color laid dramatically, oversized art-piece earrings, colored satin heels, small beaded clutch, arranged on dramatic surface, gallery exhibition invitation, warm dramatic lighting, editorial styling, artistic elevated composition, high-end fashion photography, 4k, photorealistic",
P093,Male,Edgy,—,Context,Moderate,Casual,"edgy, context, casual, male","Weekend edgy — black graphic tee, ripped black jeans, high-top sneakers, silver bracelet","Vinyl record, on dark surface","Overhead flat lay photograph, men's casual edgy outfit, black graphic band tee folded, ripped black slim jeans, black high-top sneakers, silver chain bracelet, arranged on dark wood surface, vinyl record, moody natural daylight, editorial styling, relaxed dark composition, high-end lifestyle photography, 4k, photorealistic",
P094,Male,Edgy,—,Context,Moderate,Elevated,"edgy, context, elevated, male","Evening edgy — all-black suit, black shirt, silver rings, Chelsea boots with chain detail","Dark whiskey glass, on black marble","Overhead flat lay photograph, men's elevated edgy evening outfit, all-black slim-fit suit laid precisely, black dress shirt, collection of silver rings, black Chelsea boots with subtle chain detail, arranged on black marble surface, crystal whiskey glass with dark liquid, moody dramatic lighting, editorial styling, dark refined composition, high-end fashion photography, 4k, photorealistic",
P095,Female,Edgy,—,Context,Moderate,Casual,"edgy, context, casual, female","Weekend edgy — vintage band tee, black leather mini skirt, fishnet tights, combat boots","Enamel pins, on dark surface","Overhead flat lay photograph, women's casual edgy outfit, vintage black band tee folded, black leather mini skirt, fishnet tights, black combat boots, arranged on dark textured surface, scattered enamel pins, moody natural daylight, editorial styling, relaxed dark composition, high-end lifestyle photography, 4k, photorealistic",
P096,Female,Edgy,—,Context,Moderate,Elevated,"edgy, context, elevated, female","Evening edgy — black leather dress, pointed stilettos, dramatic silver cuff, dark lip color implied by cosmetic","Dark red lipstick, on black marble","Overhead flat lay photograph, women's elevated edgy evening outfit, black leather fitted dress laid precisely, pointed black stiletto heels, dramatic wide silver cuff bracelet, arranged on black marble surface, dark red luxury lipstick tube, moody dramatic lighting, editorial styling, dark refined composition, high-end fashion photography, 4k, photorealistic",
P097,Male,Dramatic,—,Context,Moderate,Casual,"dramatic, context, casual, male","Casual dramatic — oversized black hoodie, wide-leg black trousers, chunky boots, strong silhouette even in casual","Angular sunglasses, on grey surface","Overhead flat lay photograph, men's casual dramatic outfit, oversized structured black hoodie laid flat, wide-leg black trousers, chunky-sole black boots, arranged on grey surface, angular black sunglasses, clean but powerful composition, soft directional lighting with shadow, editorial styling, high-end fashion photography, 4k, photorealistic",
P098,Male,Dramatic,—,Context,Moderate,Elevated,"dramatic, context, elevated, male","Evening dramatic — black tuxedo with peak lapels, white shirt, black bow tie, patent shoes",Cufflinks on stark black and white surface,"Overhead flat lay photograph, men's elevated dramatic evening outfit, black tuxedo with sharp peak lapels laid precisely, crisp white dress shirt, black silk bow tie, patent black oxford shoes, onyx cufflinks, arranged on stark black and white surface, dramatic lighting with extreme contrast, editorial styling, powerful formal composition, high-end fashion photography, 4k, photorealistic",
P099,Female,Dramatic,—,Context,Moderate,Casual,"dramatic, context, casual, female","Casual dramatic — oversized structured blazer, fitted black tee, wide-leg trousers, chunky boots","Bold sunglasses, on grey surface","Overhead flat lay photograph, women's casual dramatic outfit, oversized structured black blazer with strong shoulders laid flat, fitted black tee, wide-leg black trousers, chunky-sole black boots, arranged on grey surface, bold angular black sunglasses, clean but powerful composition, soft directional lighting with shadow, editorial styling, high-end fashion photography, 4k, photorealistic",
P100,Female,Dramatic,—,Context,Moderate,Elevated,"dramatic, context, elevated, female","Evening dramatic — floor-length black gown with architectural detail, statement earrings, pointed heels",Single dramatic object on stark surface,"Overhead flat lay photograph, women's elevated dramatic evening outfit, floor-length black gown with architectural pleating detail laid dramatically, large geometric gold statement earrings, pointed black satin heels, arranged on stark white surface, single dramatic angular gold object, extreme directional lighting with deep shadows, editorial styling, powerful formal composition, high-end fashion photography, 4k, photorealistic",
P101,Male,Sporty,—,Context,Moderate,Casual,"sporty, context, casual, male","Weekend sporty — cotton jersey polo, drawstring shorts, casual sneakers, rubber watch","Basketball nearby, on outdoor surface","Overhead flat lay photograph, men's casual sporty weekend outfit, cotton jersey polo in grey folded, drawstring athletic shorts in navy, casual running sneakers, rubber sport watch, arranged on outdoor concrete surface, basketball partially visible, warm outdoor daylight, editorial styling, active weekend composition, high-end lifestyle photography, 4k, photorealistic",
P102,Male,Sporty,—,Context,Moderate,Elevated,"sporty, context, elevated, male","Smart sporty — tailored jogger trousers, structured bomber jacket, premium leather sneakers, quality tee","Premium bag, on clean surface","Overhead flat lay photograph, men's elevated sporty outfit, structured navy bomber jacket laid flat, premium white cotton tee, tailored black jogger trousers, premium white leather sneakers, arranged on clean light surface, premium nylon messenger bag corner, clean bright daylight, editorial styling, polished athletic composition, high-end fashion photography, 4k, photorealistic",
P103,Female,Sporty,—,Context,Moderate,Casual,"sporty, context, casual, female","Weekend sporty — oversized sweatshirt, bike shorts, chunky sneakers, sporty sunglasses","Yoga mat rolled, on outdoor surface","Overhead flat lay photograph, women's casual sporty weekend outfit, oversized grey sweatshirt folded, black bike shorts, chunky white sneakers, sporty black sunglasses, arranged on outdoor concrete surface, rolled yoga mat partially visible, warm outdoor daylight, editorial styling, active weekend composition, high-end lifestyle photography, 4k, photorealistic",
P104,Female,Sporty,—,Context,Moderate,Elevated,"sporty, context, elevated, female","Smart sporty — sleek knit dress, structured sneakers, minimal gold jewelry, quality crossbody","Premium bag, on clean surface","Overhead flat lay photograph, women's elevated sporty outfit, sleek black fitted knit dress laid beautifully, structured white leather sneakers, minimal gold necklace, quality small crossbody bag in tan, arranged on clean light surface, clean bright daylight, editorial styling, polished athletic composition, high-end fashion photography, 4k, photorealistic",